"date","machine_id","assembly_line_no","hydraulic_pressu","coolant_pressure","air_system_press","coolant_temperat","hydraulic_oil_te","spindle_bearing_","spindle_vibratio","tool_vibration_m","spindle_speed_rp","voltage_volts","torque_nm","cutting_kn","downtime"
"2021-12-31","MAKINO-L1-UNIT1-2013","Shop Floor, L1","71.04","6.93","6.28","25.6","46.0","33.4","1.291","26.492","25892.0","335.0","24.05532601","3.58","MACHINE_FAILURE"
"2021-12-31","MAKINO-L1-UNIT1-2013","Shop Floor, L1","125.33","4.94","6.2","35.3","47.4","34.6","1.382","25.274","19856.0","368.0","14.20288973","2.68","MACHINE_FAILURE"
"2021-12-31","MAKINO-L3-UNIT1-2015","Shop Floor, L3","71.12","6.0","6.66","13.1","40.7","33.0","1.319","30.608","19851.0","325.0","24.04926704","3.55","MACHINE_FAILURE"
"31-03-2022","MAKINO-L2-UNIT1-2015","Shop Floor, L2","137.37","5.92","7.23","5.4","48.0","32.7","0.903","25.597","27613.0","319.0","25.52133005","3.55","MACHINE_FAILURE"
"2022-03-31","MAKINO-L1-UNIT1-2013","Shop Floor, L1","135.93","7.0","6.71","19.3","48.8","37.4","1.24","32.138","26605.0","438.0","25.45465209","3.58","MACHINE_FAILURE"
"2022-03-31","MAKINO-L3-UNIT1-2015","Shop Floor, L3","127.7151635","5.06","6.0","20.8","45.8","37.5","1.125","19.823","14266.0","334.0","34.97300419","2.02","NO_MACHINE_FAILURE"
"2022-03-31","MAKINO-L3-UNIT1-2015","Shop Floor, L3","134.02","5.57","6.73","14.0","47.9","35.2","0.748","36.601","20504.0","379.0","25.61856721","3.93","MACHINE_FAILURE"
"2022-03-31","MAKINO-L2-UNIT1-2015","Shop Floor, L2","71.71","5.36","6.53","34.3","43.0","32.4","0.671","25.069","17919.0","396.0","25.46144","3.67","MACHINE_FAILURE"
"2022-03-31","MAKINO-L1-UNIT1-2013","Shop Floor, L1","134.54","4.57","5.76","11.5","46.2","37.6","0.661","18.75","21951.0","366.0","25.61306937","3.59","MACHINE_FAILURE"
"2022-03-31","MAKINO-L2-UNIT1-2015","Shop Floor, L2","55.53","6.96","6.38","14.7","47.2","36.2","0.896","29.317","25528.0","364.0","25.46415618","3.69","MACHINE_FAILURE"
"2022-03-31","MAKINO-L2-UNIT1-2015","Shop Floor, L2","61.73","4.63","6.08","30.3","50.2","28.0","0.884","27.513","18660.0","328.0","25.58424437","3.55","MACHINE_FAILURE"
"2022-03-31","MAKINO-L3-UNIT1-2015","Shop Floor, L3","80.27","4.0","6.34","29.8","51.2","31.1","0.0","26.668","18644.0","349.0","25.60620039","0.0","MACHINE_FAILURE"
"2022-03-31","MAKINO-L3-UNIT1-2015","Shop Floor, L3","142.36","5.0","7.13","28.7","44.9","31.0","0.46","33.567","18648.0","341.0	","25.60070785","3.69","MACHINE_FAILURE"
"2022-03-31","MAKINO-L3-UNIT1-2015","Shop Floor, L3","63.76","4.62","6.54","27.0","45.1","38.6","0.899","35.34","18650.0","  297.0  ","25.59796247","3.67","MACHINE_FAILURE"
"2022-03-31","MAKINO-L2-UNIT1-2015","Shop Floor, L2","93.65","4.84","6.08","19.5","52.3","35.2","1.211","21.886","23432.0","434.0","25.46551448","3.67","MACHINE_FAILURE"
"2022-03-31","MAKINO-L3-UNIT1-2015","Shop Floor, L3","74.86","6.86","6.16","15.7","44.5","38.7","1.428","20.86","21951.0","346.0","25.52269447","2.49","MACHINE_FAILURE"
"2022-03-31","MAKINO-L3-UNIT1-2015","Shop Floor, L3","80.34","4.86","6.75","6.9","48.1","38.3","1.834","29.718","27957.0","409.0","25.46008213","3.61","MACHINE_FAILURE"
"2022-03-31","MAKINO-L3-UNIT1-2015","Shop Floor, L3","139.6712071","5.05","6.76","8.7","48.2","41.0","1.0","27.672","20303.0","315.0","23.51386495","2.83","NO_MACHINE_FAILURE"
